50mtorr_70W
Integration time [ms]: 2000,000
Averaging Nr. [scans]: 5
Smoothing Nr. [pixels]: 1
Data measured with spectrometer [name]: 1004019U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 528,41; 3126,533;    0,000;    0,000
 528,49; 3702,333;    0,000;    0,000
 528,56; 4093,800;    0,000;    0,000
 528,63; 4674,067;    0,000;    0,000
 528,70; 4060,800;    0,000;    0,000
 528,78; 3705,933;    0,000;    0,000
 528,85; 3114,333;    0,000;    0,000
 528,92; 3126,133;    0,000;    0,000
 529,00; 4189,933;    0,000;    0,000
 529,07; 6852,067;    0,000;    0,000
 529,14; 7241,600;    0,000;    0,000
 529,21; 5806,133;    0,000;    0,000
 529,29; 3202,600;    0,000;    0,000
 529,36; 3319,267;    0,000;    0,000
 529,43; 4115,333;    0,000;    0,000
 529,51; 3471,667;    0,000;    0,000
 529,58; 2314,467;    0,000;    0,000
 529,65; 1318,667;    0,000;    0,000
 529,72; 1287,667;    0,000;    0,000
 529,80; 1147,400;    0,000;    0,000
 529,87; 1176,200;    0,000;    0,000
 529,94; 1271,600;    0,000;    0,000
 530,02; 1239,667;    0,000;    0,000
 530,09;  991,600;    0,000;    0,000
 530,16;  902,267;    0,000;    0,000
 530,23; 1008,867;    0,000;    0,000
 530,31; 1037,733;    0,000;    0,000
 530,38;  831,733;    0,000;    0,000
 530,45;  739,000;    0,000;    0,000
 530,52;  770,667;    0,000;    0,000
 530,60;  805,133;    0,000;    0,000
 530,67;  630,800;    0,000;    0,000
 530,74;  784,600;    0,000;    0,000
 530,82;  983,400;    0,000;    0,000
 530,89; 1036,867;    0,000;    0,000
 530,96;  718,467;    0,000;    0,000
 531,03;  759,533;    0,000;    0,000
 531,11; 1023,600;    0,000;    0,000
 531,18; 1502,200;    0,000;    0,000
 531,25; 1521,067;    0,000;    0,000
 531,33; 1441,400;    0,000;    0,000
 531,40; 1246,000;    0,000;    0,000
 531,47;  946,000;    0,000;    0,000
 531,54;  694,467;    0,000;    0,000
 531,62;  649,533;    0,000;    0,000
 531,69;  765,000;    0,000;    0,000
 531,76;  923,400;    0,000;    0,000
 531,83;  731,600;    0,000;    0,000
 531,91;  720,600;    0,000;    0,000
 531,98;  687,333;    0,000;    0,000
 532,05;  712,600;    0,000;    0,000
 532,12;  584,400;    0,000;    0,000
 532,20;  625,867;    0,000;    0,000
 532,27;  639,400;    0,000;    0,000
 532,34;  543,733;    0,000;    0,000
 532,42;  469,867;    0,000;    0,000
 532,49;  704,400;    0,000;    0,000
 532,56;  936,933;    0,000;    0,000
 532,63; 1257,133;    0,000;    0,000
 532,71; 2163,800;    0,000;    0,000
 532,78; 5145,000;    0,000;    0,000
 532,85; 7878,067;    0,000;    0,000
 532,92; 9653,066;    0,000;    0,000
 533,00; 7301,400;    0,000;    0,000
 533,07; 4449,933;    0,000;    0,000
 533,14; 1686,267;    0,000;    0,000
 533,21; 1019,467;    0,000;    0,000
 533,29;  859,933;    0,000;    0,000
 533,36;  808,067;    0,000;    0,000
 533,43;  859,800;    0,000;    0,000
 533,50;  914,867;    0,000;    0,000
 533,58;  745,000;    0,000;    0,000
 533,65;  903,333;    0,000;    0,000
 533,72; 1526,600;    0,000;    0,000
 533,79; 2681,133;    0,000;    0,000
 533,87; 2634,933;    0,000;    0,000
 533,94; 2144,600;    0,000;    0,000
 534,01; 1163,200;    0,000;    0,000
 534,08; 1013,467;    0,000;    0,000
 534,16;  709,867;    0,000;    0,000
 534,23;  642,267;    0,000;    0,000
 534,30;  579,400;    0,000;    0,000
 534,37;  674,800;    0,000;    0,000
 534,45;  514,800;    0,000;    0,000
 534,52;  544,667;    0,000;    0,000
 534,59;  665,200;    0,000;    0,000
 534,66;  690,200;    0,000;    0,000
 534,74;  500,533;    0,000;    0,000
 534,81;  526,933;    0,000;    0,000
 534,88;  610,933;    0,000;    0,000
 534,95;  629,867;    0,000;    0,000
 535,03;  370,733;    0,000;    0,000
 535,10;  477,400;    0,000;    0,000
 535,17;  703,200;    0,000;    0,000
 535,24;  690,133;    0,000;    0,000
 535,32;  416,000;    0,000;    0,000
 535,39;  428,600;    0,000;    0,000
 535,46;  512,000;    0,000;    0,000
 535,53;  679,533;    0,000;    0,000
 535,61;  465,800;    0,000;    0,000
 535,68;  508,467;    0,000;    0,000
 535,75;  615,933;    0,000;    0,000
 535,82;  713,533;    0,000;    0,000
 535,90;  643,667;    0,000;    0,000
 535,97;  549,000;    0,000;    0,000
 536,04;  574,667;    0,000;    0,000
 536,11;  528,000;    0,000;    0,000
 536,19;  453,200;    0,000;    0,000
 536,26;  610,400;    0,000;    0,000
 536,33;  757,333;    0,000;    0,000
 536,40;  730,067;    0,000;    0,000
 536,48;  496,733;    0,000;    0,000
 536,55;  691,133;    0,000;    0,000
 536,62; 1021,267;    0,000;    0,000
 536,69; 1049,600;    0,000;    0,000
 536,76;  682,667;    0,000;    0,000
 536,84;  635,867;    0,000;    0,000
 536,91;  773,000;    0,000;    0,000
 536,98;  971,467;    0,000;    0,000
 537,05; 1407,333;    0,000;    0,000
 537,13; 1901,467;    0,000;    0,000
 537,20; 1875,200;    0,000;    0,000
 537,27; 1203,333;    0,000;    0,000
 537,34;  544,933;    0,000;    0,000
 537,42;  547,933;    0,000;    0,000
 537,49;  571,333;    0,000;    0,000
 537,56;  612,467;    0,000;    0,000
 537,63;  473,667;    0,000;    0,000
 537,70;  595,200;    0,000;    0,000
 537,78;  734,733;    0,000;    0,000
 537,85;  841,267;    0,000;    0,000
 537,92;  558,800;    0,000;    0,000
 537,99;  669,467;    0,000;    0,000
 538,07;  717,267;    0,000;    0,000
 538,14;  814,667;    0,000;    0,000
 538,21;  509,467;    0,000;    0,000
 538,28;  435,733;    0,000;    0,000
 538,35;  483,000;    0,000;    0,000
 538,43;  471,467;    0,000;    0,000
 538,50;  398,867;    0,000;    0,000
 538,57;  569,933;    0,000;    0,000
 538,64;  788,400;    0,000;    0,000
 538,72;  855,867;    0,000;    0,000
 538,79;  499,333;    0,000;    0,000
 538,86;  469,000;    0,000;    0,000
 538,93;  470,400;    0,000;    0,000
 539,00;  569,867;    0,000;    0,000
 539,08;  378,400;    0,000;    0,000
 539,15;  517,467;    0,000;    0,000
 539,22;  502,667;    0,000;    0,000
 539,29;  504,067;    0,000;    0,000
 539,37;  307,333;    0,000;    0,000
 539,44;  572,867;    0,000;    0,000
 539,51;  601,067;    0,000;    0,000
 539,58;  609,867;    0,000;    0,000
 539,65;  422,800;    0,000;    0,000
 539,73;  465,267;    0,000;    0,000
 539,80;  581,600;    0,000;    0,000
 539,87;  738,667;    0,000;    0,000
 539,94;  695,933;    0,000;    0,000
 540,01;  567,667;    0,000;    0,000
 540,09;  405,667;    0,000;    0,000
 540,16;  487,933;    0,000;    0,000
 540,23;  474,267;    0,000;    0,000
 540,30;  557,867;    0,000;    0,000
 540,37;  415,400;    0,000;    0,000
 540,45;  343,600;    0,000;    0,000
 540,52;  144,133;    0,000;    0,000
 540,59;  310,067;    0,000;    0,000
 540,66;  576,733;    0,000;    0,000
 540,73;  804,200;    0,000;    0,000
 540,81;  749,333;    0,000;    0,000
 540,88;  665,600;    0,000;    0,000
 540,95;  620,400;    0,000;    0,000
 541,02;  639,333;    0,000;    0,000
