50mtorr70W
Integration time [ms]: 200,000
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1004020U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 735,11;   80,350;    0,000;    0,000
 735,17;  -97,890;    0,000;    0,000
 735,24;    2,590;    0,000;    0,000
 735,30;  -51,630;    0,000;    0,000
 735,37;   81,880;    0,000;    0,000
 735,43;  -41,830;    0,000;    0,000
 735,50;   31,080;    0,000;    0,000
 735,56; -116,080;    0,000;    0,000
 735,63;  -49,380;    0,000;    0,000
 735,69;  -12,590;    0,000;    0,000
 735,75;  -63,350;    0,000;    0,000
 735,82;  -91,660;    0,000;    0,000
 735,88;  -14,760;    0,000;    0,000
 735,95;  -46,530;    0,000;    0,000
 736,01;  127,930;    0,000;    0,000
 736,08;  -58,850;    0,000;    0,000
 736,14;    0,710;    0,000;    0,000
 736,20; -144,000;    0,000;    0,000
 736,27; -145,500;    0,000;    0,000
 736,33; -117,960;    0,000;    0,000
 736,40;    0,390;    0,000;    0,000
 736,46; -110,860;    0,000;    0,000
 736,53;   14,490;    0,000;    0,000
 736,59;  -69,050;    0,000;    0,000
 736,66;   -0,920;    0,000;    0,000
 736,72;  -48,090;    0,000;    0,000
 736,78;   -8,600;    0,000;    0,000
 736,85;  -94,950;    0,000;    0,000
 736,91;   98,340;    0,000;    0,000
 736,98;   87,730;    0,000;    0,000
 737,04;   47,020;    0,000;    0,000
 737,11;   38,520;    0,000;    0,000
 737,17;  217,620;    0,000;    0,000
 737,23;  583,390;    0,000;    0,000
 737,30;  443,560;    0,000;    0,000
 737,36;  107,930;    0,000;    0,000
 737,43;  -16,220;    0,000;    0,000
 737,49;  -83,220;    0,000;    0,000
 737,56;   78,390;    0,000;    0,000
 737,62;    3,500;    0,000;    0,000
 737,68;  -25,980;    0,000;    0,000
 737,75;   -4,420;    0,000;    0,000
 737,81;   31,160;    0,000;    0,000
 737,88;  -81,030;    0,000;    0,000
 737,94;  -40,520;    0,000;    0,000
 738,01;   15,770;    0,000;    0,000
 738,07;   -0,350;    0,000;    0,000
 738,13;   29,930;    0,000;    0,000
 738,20;  -31,820;    0,000;    0,000
 738,26;   71,640;    0,000;    0,000
 738,33;  -58,680;    0,000;    0,000
 738,39;  -73,480;    0,000;    0,000
 738,46;   50,780;    0,000;    0,000
 738,52;  -88,950;    0,000;    0,000
 738,58;  -42,840;    0,000;    0,000
 738,65; -124,880;    0,000;    0,000
 738,71;  -43,270;    0,000;    0,000
 738,78;    1,360;    0,000;    0,000
 738,84;  -90,280;    0,000;    0,000
 738,90;  -58,130;    0,000;    0,000
 738,97;   38,790;    0,000;    0,000
 739,03; -103,710;    0,000;    0,000
 739,10;   86,250;    0,000;    0,000
 739,16;  -67,420;    0,000;    0,000
 739,23;   -3,250;    0,000;    0,000
